Key_ID,loc,onoff,iflag,ioc,T,S,At,x,y,lon,lat,name,dt,semiclose,model,WSE,CJO,replace1,replace2
181,22465,0,5,3,181,11,11,543588.547,4063834.061,129.4881,36.7192,후포,60,0,10,3,3,11,11
182,22466,0,5,1,182,16,16,387783.546,3825673.191,127.7767,34.5667,금오도,60,0,7,2,2,118,126
183,22467,0,5,1,183,14,14,453852.111,3840134.519,128.4961,34.7022,한산도,60,0,7,2,2,199,213
184,22468,0,5,1,184,21,21,248541.916,3762512.303,126.2783,33.9731,추자도,60,0,10,2,3,21,35
185,22469,0,5,1,185,10,10,311168.808,3711031.388,126.9667,33.5222,우도,60,0,10,2,3,22,22
186,22470,0,5,1,186,74,17,266772.883,4111043.665,126.375,37.1167,풍도,60,0,1,1,3,179,64
187,22471,0,5,3,187,12,12,462888.225,4236667.884,128.5757,38.2773,토성,60,0,10,3,3,99,12
188,22472,0,5,1,188,74,17,248122.818,4132428.855,126.1581,37.3044,자월도,60,0,1,1,3,136,152
189,22473,0,5,1,189,63,39,260092.625,4005757.092,126.3328,36.1669,서천,60,0,4,1,3,63,39
190,22474,0,5,1,190,18,18,267623.444,3974598.729,126.4256,35.8881,군산,60,0,4,1,3,65,154
191,22475,0,5,1,191,72,3,243681.084,3925036.975,126.1764,35.4358,영광,60,0,4,1,3,3,155
192,22476,0,5,1,192,23,23,244835.553,3672647.298,126.2639,33.1626,가파도,60,0,10,2,3,23,142
193,22477,0,5,1,193,27,27,268994.769,3791802.017,126.4917,34.2417,노화도,60,0,7,2,2,113,107
194,22478,0,5,1,194,25,25,332530.681,3805272.999,127.1786,34.3753,고흥,60,0,7,2,2,110,25
195,22479,0,5,3,195,6,42,520285.547,4139460.416,129.2292,37.4017,삼척,60,0,10,3,3,42,115
196,22481,0,5,1,196,27,27,219415.79,3789557.733,125.9547,34.2093,맹골수도,60,1,4,2,2,156,214
197,22483,0,5,3,197,20,46,534065.963,3913807.731,129.375,35.367,간절곶,60,1,10,3,3,47,85
198,22484,0,5,1,198,19,19,470911.226,3879521.589,128.681,35.058,잠도,60,0,6,2,1,198,198
199,22485,0,5,1,199,14,14,457648.111,3831111.73,128.538,34.621,소매물도,60,1,7,2,2,183,213
